id,title,domainKey,domainLabel,relatedIndicationKey,relatedIndicationLabel,screeningRiskTarget,minAgeMonth,maxAgeMonth,ageRange,difficulty,estimatedDurationMinutes,recommendedFrequencyPerWeek,materials,description,purpose,steps,successIndicator,observationScoreGuide,safetyNotes,sourceNote
ACT-001,Menunjuk Keinginan,COMMUNICATION_SPEECH,Bicara dan Bahasa,SPEECH_DELAY,Speech Delay,COMMUNICATION_SPEECH,12,15,12-15 bulan,Mudah,5,5,mainan favorit yang terlihat tetapi tidak terjangkau,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: menunjuk benda yang diinginkan sebelum diberikan.,"Melatih komunikasi reseptif, ekspresif, perluasan kosakata, dan kemampuan mengikuti instruksi.",Siapkan mainan favorit yang terlihat tetapi tidak terjangkau di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: menunjuk benda yang diinginkan sebelum diberikan. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu menunjuk benda yang diinginkan sebelum diberikan secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-002,Masukkan Kancing ke Botol,FINE_MOTOR,Gerak Halus,ASD,ASD,SOCIAL_EMOTIONAL,12,15,12-15 bulan,Mudah,5,4,botol plastik bening dan kancing besar,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: memasukkan kancing besar ke dalam botol bermulut lebar.,"Melatih koordinasi mata-tangan, ketangkasan jari, kontrol alat tulis, dan manipulasi benda kecil.",Siapkan botol plastik bening dan kancing besar di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: memasukkan kancing besar ke dalam botol bermulut lebar. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu memasukkan kancing besar ke dalam botol bermulut lebar secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Hindari benda kecil yang berisiko tertelan.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-003,Meniru Bunyi Binatang,COMMUNICATION_SPEECH,Bicara dan Bahasa,SPEECH_DELAY,Speech Delay,COMMUNICATION_SPEECH,12,15,12-15 bulan,Mudah,5,5,gambar hewan atau boneka hewan,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: meniru minimal satu bunyi hewan sederhana.,"Melatih komunikasi reseptif, ekspresif, perluasan kosakata, dan kemampuan mengikuti instruksi.",Siapkan gambar hewan atau boneka hewan di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: meniru minimal satu bunyi hewan sederhana. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu meniru minimal satu bunyi hewan sederhana secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-004,Berjalan Sambil Memegang Tangan,GROSS_MOTOR,Gerak Kasar,ADHD,ADHD,COGNITIVE_PROBLEM_SOLVING,12,15,12-15 bulan,Mudah,5,4,ruang aman tanpa benda tajam,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: melangkah maju dengan bantuan satu tangan.,"Melatih koordinasi otot besar, keseimbangan, kekuatan tubuh, dan kontrol gerak.",Siapkan ruang aman tanpa benda tajam di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: melangkah maju dengan bantuan satu tangan. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu melangkah maju dengan bantuan satu tangan secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Pastikan lantai tidak licin dan area bebas sudut tajam.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-005,Melambaikan Tangan Dadah,SOCIAL_INDEPENDENCE,Sosialisasi dan Kemandirian,ASD,ASD,SOCIAL_EMOTIONAL,12,15,12-15 bulan,Mudah,5,4,situasi berpamitan dengan orang tua/keluarga,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: meniru gerakan melambaikan tangan saat berpamitan.,"Melatih interaksi sosial, imitasi, regulasi emosi, kemandirian bantu diri, dan kebiasaan harian.",Siapkan situasi berpamitan dengan orang tua/keluarga di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: meniru gerakan melambaikan tangan saat berpamitan. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu meniru gerakan melambaikan tangan saat berpamitan secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-006,Mengambil Mainan dari Wadah,FINE_MOTOR,Gerak Halus,ASD,ASD,SOCIAL_EMOTIONAL,12,15,12-15 bulan,Mudah,5,4,wadah plastik dan mainan kecil aman,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: mengambil mainan dari wadah menggunakan koordinasi mata-tangan.,"Melatih koordinasi mata-tangan, ketangkasan jari, kontrol alat tulis, dan manipulasi benda kecil.",Siapkan wadah plastik dan mainan kecil aman di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: mengambil mainan dari wadah menggunakan koordinasi mata-tangan. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu mengambil mainan dari wadah menggunakan koordinasi mata-tangan secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Hindari benda kecil yang berisiko tertelan.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-007,Memberi Benda Saat Diminta,COMMUNICATION_SPEECH,Bicara dan Bahasa,SPEECH_DELAY,Speech Delay,COMMUNICATION_SPEECH,12,15,12-15 bulan,Mudah,5,5,dua benda familiar seperti bola dan sendok,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: memberikan benda yang disebutkan oleh orang tua.,"Melatih komunikasi reseptif, ekspresif, perluasan kosakata, dan kemampuan mengikuti instruksi.",Siapkan dua benda familiar seperti bola dan sendok di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: memberikan benda yang disebutkan oleh orang tua. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu memberikan benda yang disebutkan oleh orang tua secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-008,Bertepuk Tangan Meniru,SOCIAL_INDEPENDENCE,Sosialisasi dan Kemandirian,ASD,ASD,SOCIAL_EMOTIONAL,12,15,12-15 bulan,Mudah,5,4,lagu pendek atau tepuk tangan orang tua,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: meniru tepuk tangan setelah dicontohkan.,"Melatih interaksi sosial, imitasi, regulasi emosi, kemandirian bantu diri, dan kebiasaan harian.",Siapkan lagu pendek atau tepuk tangan orang tua di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: meniru tepuk tangan setelah dicontohkan. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu meniru tepuk tangan setelah dicontohkan secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-009,Memasukkan Bola ke Keranjang,GROSS_MOTOR,Gerak Kasar,ADHD,ADHD,COGNITIVE_PROBLEM_SOLVING,12,15,12-15 bulan,Mudah,5,4,bola plastik ringan dan keranjang rendah,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: memasukkan bola ke keranjang dari jarak dekat.,"Melatih koordinasi otot besar, keseimbangan, kekuatan tubuh, dan kontrol gerak.",Siapkan bola plastik ringan dan keranjang rendah di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: memasukkan bola ke keranjang dari jarak dekat. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu memasukkan bola ke keranjang dari jarak dekat secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Pastikan lantai tidak licin dan area bebas sudut tajam.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-010,Membuka Tutup Kotak Besar,FINE_MOTOR,Gerak Halus,ASD,ASD,SOCIAL_EMOTIONAL,12,15,12-15 bulan,Mudah,5,4,kotak plastik besar berisi mainan,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: membuka tutup kotak dan mengambil benda di dalamnya.,"Melatih koordinasi mata-tangan, ketangkasan jari, kontrol alat tulis, dan manipulasi benda kecil.",Siapkan kotak plastik besar berisi mainan di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: membuka tutup kotak dan mengambil benda di dalamnya. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu membuka tutup kotak dan mengambil benda di dalamnya secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Hindari benda kecil yang berisiko tertelan.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
